Node,Demand,Selection,total demand,demand fulfilled
561,1760,0,0,
562,1831,0,0,
563,1756,0,0,
564,1931,0,0,
565,2156,0,0,
566,2661,0,0,
567,2865,0,0,
568,2685,0,0,
569,1553,0,0,
570,1609,0,0,
571,1736,0,0,
572,2358,0,0,
573,2327,0,0,
574,1711,0,0,
575,1785,0,0,
576,1884,0,0,
577,1883,0,0,
578,1718,0,0,
579,1858,0,0,
580,1479,0,0,
581,1501,0,0,
582,1628,0,0,
583,1480,0,0,
584,1706,0,0,
585,1555,0,0,
586,1730,0,0,
587,1832,0,0,
588,1609,0,0,
589,1894,0,0,
590,1499,0,0,
591,1413,0,0,
